Time: 2024-05-12 03:45:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 239.8, 'Long wave outgoing solar radiation': 314.7, 'Global radiation': 139.3, 'Direct solar radiation': 543.4, 'Reflected radiation': 40.1, 'Sunshine duration': 60.0, 'Diffuse radiation': 60.1, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.2}
Time: 2024-05-12 04:00:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 245.2, 'Long wave outgoing solar radiation': 314.9, 'Global radiation': 99.3, 'Direct solar radiation': 90.0, 'Reflected radiation': 22.9, 'Sunshine duration': 10.0, 'Diffuse radiation': 82.9, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.2}
Time: 2024-05-12 04:15:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 253.6, 'Long wave outgoing solar radiation': 319.7, 'Global radiation': 109.7, 'Direct solar radiation': 21.8, 'Reflected radiation': 25.2, 'Sunshine duration': 0.0, 'Diffuse radiation': 114.9, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.3}
Time: 2024-05-12 04:30:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 281.0, 'Long wave outgoing solar radiation': 333.5, 'Global radiation': 140.1, 'Direct solar radiation': 13.1, 'Reflected radiation': 32.1, 'Sunshine duration': 0.0, 'Diffuse radiation': 146.7, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.3}
Time: 2024-05-12 04:45:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 291.3, 'Long wave outgoing solar radiation': 338.6, 'Global radiation': 165.9, 'Direct solar radiation': 13.5, 'Reflected radiation': 38.0, 'Sunshine duration': 0.0, 'Diffuse radiation': 173.9, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.4}
Time: 2024-05-12 05:00:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 278.3, 'Long wave outgoing solar radiation': 344.7, 'Global radiation': 216.1, 'Direct solar radiation': 36.0, 'Reflected radiation': 50.1, 'Sunshine duration': 0.0, 'Diffuse radiation': 211.9, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.5}
Time: 2024-05-12 05:15:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 253.6, 'Long wave outgoing solar radiation': 352.8, 'Global radiation': 371.3, 'Direct solar radiation': 425.4, 'Reflected radiation': 83.1, 'Sunshine duration': 60.0, 'Diffuse radiation': 152.9, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.6}
Time: 2024-05-12 05:30:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 263.8, 'Long wave outgoing solar radiation': 372.7, 'Global radiation': 447.7, 'Direct solar radiation': 826.8, 'Reflected radiation': 112.4, 'Sunshine duration': 60.0, 'Diffuse radiation': 123.0, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.8}
Time: 2024-05-12 05:45:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 295.4, 'Long wave outgoing solar radiation': 366.6, 'Global radiation': 259.1, 'Direct solar radiation': 27.1, 'Reflected radiation': 59.6, 'Sunshine duration': 0.0, 'Diffuse radiation': 261.7, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.8}
Time: 2024-05-12 06:00:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 286.9, 'Long wave outgoing solar radiation': 372.6, 'Global radiation': 345.7, 'Direct solar radiation': 210.2, 'Reflected radiation': 87.4, 'Sunshine duration': 55.0, 'Diffuse radiation': 285.5, 'Radiation balance': nan, 'Ultraviolet irradiance': 1.0}
Time: 2024-05-12 06:15:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 294.4, 'Long wave outgoing solar radiation': 381.6, 'Global radiation': 379.5, 'Direct solar radiation': 109.0, 'Reflected radiation': 84.1, 'Sunshine duration': 15.0, 'Diffuse radiation': 325.0, 'Radiation balance': nan, 'Ultraviolet irradiance': 1.2}
Time: 2024-05-12 06:30:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 285.8, 'Long wave outgoing solar radiation': 382.9, 'Global radiation': 377.7, 'Direct solar radiation': 145.1, 'Reflected radiation': 87.9, 'Sunshine duration': 60.0, 'Diffuse radiation': 310.1, 'Radiation balance': nan, 'Ultraviolet irradiance': 1.3}
